,Location,Date,Hour,Measurement
193,siwak,2019-02-02,6,4.6
194,siwak,2019-02-02,10,
195,siwak,2019-02-02,14,
196,siwak,2019-02-02,18,
197,siwak,2019-02-02,22,
198,siwak,2019-02-03,2,
199,siwak,2019-02-03,6,4.3
200,siwak,2019-02-03,10,
201,siwak,2019-02-03,14,
202,siwak,2019-02-03,18,
203,siwak,2019-02-03,22,
204,siwak,2019-02-04,2,
205,siwak,2019-02-04,6,4.4
206,siwak,2019-02-04,10,
207,siwak,2019-02-04,14,
208,siwak,2019-02-04,18,
209,siwak,2019-02-04,22,
210,siwak,2019-02-05,2,
211,siwak,2019-02-05,6,5.0
212,siwak,2019-02-05,10,
213,siwak,2019-02-05,14,
214,siwak,2019-02-05,18,
215,siwak,2019-02-05,22,
216,siwak,2019-02-06,2,
217,siwak,2019-02-06,6,5.8
218,siwak,2019-02-06,10,
219,siwak,2019-02-06,14,
220,siwak,2019-02-06,18,
221,siwak,2019-02-06,22,
222,siwak,2019-02-07,2,
223,siwak,2019-02-07,6,6.35
224,siwak,2019-02-07,10,
225,siwak,2019-02-07,14,
226,siwak,2019-02-07,18,
227,siwak,2019-02-07,22,
228,siwak,2019-02-08,2,
229,siwak,2019-02-08,6,6.6
230,siwak,2019-02-08,10,
231,siwak,2019-02-08,14,
232,siwak,2019-02-08,18,
233,siwak,2019-02-08,22,
234,siwak,2019-02-09,2,
235,siwak,2019-02-09,6,7.0
236,siwak,2019-02-09,10,
237,siwak,2019-02-09,14,
238,siwak,2019-02-09,18,
239,siwak,2019-02-09,22,
240,siwak,2019-02-10,2,
241,siwak,2019-02-10,6,7.4
242,siwak,2019-02-10,10,
243,siwak,2019-02-10,14,
244,siwak,2019-02-10,18,
245,siwak,2019-02-10,22,
246,siwak,2019-02-11,2,
247,siwak,2019-02-11,6,7.6
248,siwak,2019-02-11,10,
249,siwak,2019-02-11,14,
250,siwak,2019-02-11,18,
251,siwak,2019-02-11,22,
252,siwak,2019-02-12,2,
253,siwak,2019-02-12,6,7.9
254,siwak,2019-02-12,10,
255,siwak,2019-02-12,14,
256,siwak,2019-02-12,18,
257,siwak,2019-02-12,22,
258,siwak,2019-02-13,2,
259,siwak,2019-02-13,6,8.2
260,siwak,2019-02-13,10,
261,siwak,2019-02-13,14,
262,siwak,2019-02-13,18,
263,siwak,2019-02-13,22,
264,siwak,2019-02-14,2,
265,siwak,2019-02-14,6,8.4
266,siwak,2019-02-14,10,
267,siwak,2019-02-14,14,
268,siwak,2019-02-14,18,
269,siwak,2019-02-14,22,
270,siwak,2019-02-15,2,
271,siwak,2019-02-15,6,8.2
272,siwak,2019-02-15,10,
273,siwak,2019-02-15,14,
274,siwak,2019-02-15,18,
275,siwak,2019-02-15,22,
276,siwak,2019-02-16,2,
277,siwak,2019-02-16,6,8.0
278,siwak,2019-02-16,10,
279,siwak,2019-02-16,14,
280,siwak,2019-02-16,18,
281,siwak,2019-02-16,22,
282,siwak,2019-02-17,2,
283,siwak,2019-02-17,6,8.0
284,siwak,2019-02-17,10,
285,siwak,2019-02-17,14,
286,siwak,2019-02-17,18,
287,siwak,2019-02-17,22,
288,siwak,2019-02-18,2,
289,siwak,2019-02-18,6,8.0
290,siwak,2019-02-18,10,
291,siwak,2019-02-18,14,
292,siwak,2019-02-18,18,
293,siwak,2019-02-18,22,
294,siwak,2019-02-19,2,
295,siwak,2019-02-19,6,6.7
296,siwak,2019-02-19,10,
297,siwak,2019-02-19,14,
298,siwak,2019-02-19,18,
299,siwak,2019-02-19,22,
300,siwak,2019-02-20,2,
301,siwak,2019-02-20,6,6.4
302,siwak,2019-02-20,10,
303,siwak,2019-02-20,14,
304,siwak,2019-02-20,18,
305,siwak,2019-02-20,22,
306,siwak,2019-02-21,2,
307,siwak,2019-02-21,6,6.8
308,siwak,2019-02-21,10,
309,siwak,2019-02-21,14,
310,siwak,2019-02-21,18,
311,siwak,2019-02-21,22,
312,siwak,2019-02-22,2,
313,siwak,2019-02-22,6,6.9
314,siwak,2019-02-22,10,
315,siwak,2019-02-22,14,
316,siwak,2019-02-22,18,
317,siwak,2019-02-22,22,
318,siwak,2019-02-23,2,
319,siwak,2019-02-23,6,6.65
320,siwak,2019-02-23,10,
321,siwak,2019-02-23,14,
322,siwak,2019-02-23,18,
323,siwak,2019-02-23,22,
324,siwak,2019-02-24,2,
325,siwak,2019-02-24,6,5.6
326,siwak,2019-02-24,10,
327,siwak,2019-02-24,14,
328,siwak,2019-02-24,18,
329,siwak,2019-02-24,22,
330,siwak,2019-02-25,2,
331,siwak,2019-02-25,6,4.7
332,siwak,2019-02-25,10,
333,siwak,2019-02-25,14,
334,siwak,2019-02-25,18,
335,siwak,2019-02-25,22,
336,siwak,2019-02-26,2,
337,siwak,2019-02-26,6,4.5
338,siwak,2019-02-26,10,
339,siwak,2019-02-26,14,
340,siwak,2019-02-26,18,
341,siwak,2019-02-26,22,
342,siwak,2019-02-27,2,
343,siwak,2019-02-27,6,5.0
344,siwak,2019-02-27,10,
345,siwak,2019-02-27,14,
346,siwak,2019-02-27,18,
347,siwak,2019-02-27,22,
348,siwak,2019-02-28,2,
349,siwak,2019-02-28,6,4.9
350,siwak,2019-02-28,10,
351,siwak,2019-02-28,14,
352,siwak,2019-02-28,18,
353,siwak,2019-02-28,22,
354,siwak,2019-03-01,2,
355,siwak,2019-03-01,6,4.6
356,siwak,2019-03-01,10,
357,siwak,2019-03-01,14,
358,siwak,2019-03-01,18,
359,siwak,2019-03-01,22,
360,siwak,2019-03-02,2,
361,siwak,2019-03-02,6,3.9
362,siwak,2019-03-02,10,
363,siwak,2019-03-02,14,
364,siwak,2019-03-02,18,
365,siwak,2019-03-02,22,
366,siwak,2019-03-03,2,
367,siwak,2019-03-03,6,3.3
368,siwak,2019-03-03,10,
369,siwak,2019-03-03,14,
370,siwak,2019-03-03,18,
371,siwak,2019-03-03,22,
372,siwak,2019-03-04,2,
373,siwak,2019-03-04,6,3.7
374,siwak,2019-03-04,10,
375,siwak,2019-03-04,14,
376,siwak,2019-03-04,18,
377,siwak,2019-03-04,22,
378,siwak,2019-03-05,2,
379,siwak,2019-03-05,6,4.0
380,siwak,2019-03-05,10,
381,siwak,2019-03-05,14,
382,siwak,2019-03-05,18,
383,siwak,2019-03-05,22,
384,siwak,2019-03-06,2,
385,siwak,2019-03-06,6,4.2
386,siwak,2019-03-06,10,
387,siwak,2019-03-06,14,
388,siwak,2019-03-06,18,
389,siwak,2019-03-06,22,
390,siwak,2019-03-07,2,
391,siwak,2019-03-07,6,4.0
392,siwak,2019-03-07,10,
393,siwak,2019-03-07,14,
394,siwak,2019-03-07,18,
395,siwak,2019-03-07,22,
396,siwak,2019-03-08,2,
