,location,date,hour,measurement
126,papar_pujung,2022-04-15,2,3.95
127,papar_pujung,2022-04-16,6,3.7
128,papar_pujung,2022-04-16,10,3.7
129,papar_pujung,2022-04-16,14,3.7
130,papar_pujung,2022-04-16,18,3.8
131,papar_pujung,2022-04-16,22,4.1
132,papar_pujung,2022-04-16,2,4.25
133,papar_pujung,2022-04-17,6,4.4
134,papar_pujung,2022-04-17,10,4.4
135,papar_pujung,2022-04-17,14,4.5
136,papar_pujung,2022-04-17,18,4.5
137,papar_pujung,2022-04-17,22,4.6
138,papar_pujung,2022-04-17,2,4.65
139,papar_pujung,2022-04-18,6,4.7
140,papar_pujung,2022-04-18,10,4.7
141,papar_pujung,2022-04-18,14,4.6
142,papar_pujung,2022-04-18,18,4.5
143,papar_pujung,2022-04-18,22,4.5
144,papar_pujung,2022-04-18,2,4.55
145,papar_pujung,2022-04-19,6,4.6
146,papar_pujung,2022-04-19,10,4.8
147,papar_pujung,2022-04-19,14,5.2
148,papar_pujung,2022-04-19,18,5.65
149,papar_pujung,2022-04-19,22,6.1
150,papar_pujung,2022-04-19,2,6.45
151,papar_pujung,2022-04-20,6,6.8
152,papar_pujung,2022-04-20,10,7.1
153,papar_pujung,2022-04-20,14,7.1
154,papar_pujung,2022-04-20,18,7.2
155,papar_pujung,2022-04-20,22,7.3
156,papar_pujung,2022-04-20,2,7.35
157,papar_pujung,2022-04-21,6,7.4
158,papar_pujung,2022-04-21,10,7.4
159,papar_pujung,2022-04-21,14,7.4
160,papar_pujung,2022-04-21,18,7.4
161,papar_pujung,2022-04-21,22,7.3
162,papar_pujung,2022-04-21,2,7.4
163,papar_pujung,2022-04-22,6,7.5
164,papar_pujung,2022-04-22,10,7.7
165,papar_pujung,2022-04-22,14,8.1
166,papar_pujung,2022-04-22,18,8.1
167,papar_pujung,2022-04-22,22,8.4
168,papar_pujung,2022-04-22,2,8.55
169,papar_pujung,2022-04-23,6,8.7
170,papar_pujung,2022-04-23,10,8.8
171,papar_pujung,2022-04-23,14,8.8
172,papar_pujung,2022-04-23,18,8.9
173,papar_pujung,2022-04-23,22,8.7
174,papar_pujung,2022-04-23,2,8.6
175,papar_pujung,2022-04-24,6,8.5
176,papar_pujung,2022-04-24,10,8.4
177,papar_pujung,2022-04-24,14,8.4
178,papar_pujung,2022-04-24,18,8.2
179,papar_pujung,2022-04-24,22,8.0
180,papar_pujung,2022-04-24,2,8.05
181,papar_pujung,2022-04-25,6,8.1
182,papar_pujung,2022-04-25,10,8.1
183,papar_pujung,2022-04-25,14,8.0
184,papar_pujung,2022-04-25,18,7.9
185,papar_pujung,2022-04-25,22,7.9
186,papar_pujung,2022-04-25,2,7.85
187,papar_pujung,2022-04-26,6,7.8
188,papar_pujung,2022-04-26,10,7.7
189,papar_pujung,2022-04-26,14,7.5
190,papar_pujung,2022-04-26,18,7.5
191,papar_pujung,2022-04-26,22,7.4
192,papar_pujung,2022-04-26,2,7.35
193,papar_pujung,2022-04-27,6,7.3
194,papar_pujung,2022-04-27,10,7.2
195,papar_pujung,2022-04-27,14,7.0
196,papar_pujung,2022-04-27,18,7.0
197,papar_pujung,2022-04-27,22,6.9
198,papar_pujung,2022-04-27,2,6.75
199,papar_pujung,2022-04-28,6,6.6
200,papar_pujung,2022-04-28,10,6.5
201,papar_pujung,2022-04-28,14,6.4
202,papar_pujung,2022-04-28,18,6.3
203,papar_pujung,2022-04-28,22,6.3
204,papar_pujung,2022-04-28,2,6.3
205,papar_pujung,2022-04-29,6,6.3
206,papar_pujung,2022-04-29,10,6.2
207,papar_pujung,2022-04-29,14,6.2
208,papar_pujung,2022-04-29,18,6.1
209,papar_pujung,2022-04-29,22,6.0
210,papar_pujung,2022-04-29,2,5.95
211,papar_pujung,2022-04-30,6,5.9
212,papar_pujung,2022-04-30,10,5.9
213,papar_pujung,2022-04-30,14,5.8
214,papar_pujung,2022-04-30,18,5.8
215,papar_pujung,2022-04-30,22,5.5
216,papar_pujung,2022-04-30,2,5.6
217,papar_pujung,2022-05-01,6,5.7
218,papar_pujung,2022-05-01,10,6.0
219,papar_pujung,2022-05-01,14,6.1
220,papar_pujung,2022-05-01,18,6.1
221,papar_pujung,2022-05-01,22,6.15
222,papar_pujung,2022-05-01,2,6.15
223,papar_pujung,2022-05-02,6,6.2
224,papar_pujung,2022-05-02,10,6.2
225,papar_pujung,2022-05-02,14,6.25
226,papar_pujung,2022-05-02,18,6.25
227,papar_pujung,2022-05-02,22,6.3
228,papar_pujung,2022-05-02,2,6.3
229,papar_pujung,2022-05-03,6,6.3
230,papar_pujung,2022-05-03,10,6.3
231,papar_pujung,2022-05-03,14,6.3
232,papar_pujung,2022-05-03,18,6.3
233,papar_pujung,2022-05-03,22,6.3
234,papar_pujung,2022-05-03,2,6.3
235,papar_pujung,2022-05-04,6,6.3
236,papar_pujung,2022-05-04,10,6.3
237,papar_pujung,2022-05-04,14,6.9
238,papar_pujung,2022-05-04,18,7.0
239,papar_pujung,2022-05-04,22,7.7
240,papar_pujung,2022-05-04,2,7.85
241,papar_pujung,2022-05-05,6,8.0
242,papar_pujung,2022-05-05,10,8.1
243,papar_pujung,2022-05-05,14,8.4
244,papar_pujung,2022-05-05,18,8.5
245,papar_pujung,2022-05-05,22,8.4
246,papar_pujung,2022-05-05,2,8.6
247,papar_pujung,2022-05-06,6,8.8
248,papar_pujung,2022-05-06,10,8.8
249,papar_pujung,2022-05-06,14,8.6
250,papar_pujung,2022-05-06,18,8.6
251,papar_pujung,2022-05-06,22,8.5
252,papar_pujung,2022-05-06,2,8.55
253,papar_pujung,2022-05-07,6,8.6
254,papar_pujung,2022-05-07,10,8.6
255,papar_pujung,2022-05-07,14,8.6
256,papar_pujung,2022-05-07,18,8.7
257,papar_pujung,2022-05-07,22,8.7
258,papar_pujung,2022-05-07,2,8.8
259,papar_pujung,2022-05-08,6,8.9
260,papar_pujung,2022-05-08,10,9.0
261,papar_pujung,2022-05-08,14,9.0
262,papar_pujung,2022-05-08,18,9.0
263,papar_pujung,2022-05-08,22,9.0
264,papar_pujung,2022-05-08,2,9.05
265,papar_pujung,2022-05-09,6,9.1
266,papar_pujung,2022-05-09,10,9.0
267,papar_pujung,2022-05-09,14,9.0
268,papar_pujung,2022-05-09,18,8.9
269,papar_pujung,2022-05-09,22,8.9
270,papar_pujung,2022-05-09,2,8.75
271,papar_pujung,2022-05-10,6,8.6
272,papar_pujung,2022-05-10,10,8.5
273,papar_pujung,2022-05-10,14,8.5
274,papar_pujung,2022-05-10,18,8.5
275,papar_pujung,2022-05-10,22,8.4
276,papar_pujung,2022-05-10,2,8.35
277,papar_pujung,2022-05-11,6,8.3
278,papar_pujung,2022-05-11,10,8.2
279,papar_pujung,2022-05-11,14,8.2
280,papar_pujung,2022-05-11,18,8.1
281,papar_pujung,2022-05-11,22,7.8
282,papar_pujung,2022-05-11,2,7.55
283,papar_pujung,2022-05-12,6,7.3
284,papar_pujung,2022-05-12,10,7.3
285,papar_pujung,2022-05-12,14,7.3
286,papar_pujung,2022-05-12,18,7.5
287,papar_pujung,2022-05-12,22,7.5
288,papar_pujung,2022-05-12,2,7.6
289,papar_pujung,2022-05-13,6,7.6
290,papar_pujung,2022-05-13,10,7.6
291,papar_pujung,2022-05-13,14,7.5
292,papar_pujung,2022-05-13,18,7.5
293,papar_pujung,2022-05-13,22,7.4
294,papar_pujung,2022-05-13,2,7.35
295,papar_pujung,2022-05-14,6,7.3
296,papar_pujung,2022-05-14,10,7.3
297,papar_pujung,2022-05-14,14,7.3
298,papar_pujung,2022-05-14,18,7.3
299,papar_pujung,2022-05-14,22,7.2
300,papar_pujung,2022-05-14,2,7.15
301,papar_pujung,2022-05-15,6,7.1
302,papar_pujung,2022-05-15,10,7.0
303,papar_pujung,2022-05-15,14,6.9
304,papar_pujung,2022-05-15,18,6.8
305,papar_pujung,2022-05-15,22,6.6
306,papar_pujung,2022-05-15,2,6.45
307,papar_pujung,2022-05-16,6,6.3
308,papar_pujung,2022-05-16,10,6.3
309,papar_pujung,2022-05-16,14,6.1
310,papar_pujung,2022-05-16,18,5.9
311,papar_pujung,2022-05-16,22,5.8
312,papar_pujung,2022-05-16,2,5.65
313,papar_pujung,2022-05-17,6,5.5
314,papar_pujung,2022-05-17,10,5.6
315,papar_pujung,2022-05-17,14,5.7
316,papar_pujung,2022-05-17,18,5.8
317,papar_pujung,2022-05-17,22,6.2
318,papar_pujung,2022-05-17,2,6.55
319,papar_pujung,2022-05-18,6,6.9
320,papar_pujung,2022-05-18,10,7.0
321,papar_pujung,2022-05-18,14,7.1
322,papar_pujung,2022-05-18,18,7.2
323,papar_pujung,2022-05-18,22,7.4
324,papar_pujung,2022-05-18,2,7.7
325,papar_pujung,2022-05-19,6,8.0
326,papar_pujung,2022-05-19,10,8.3
327,papar_pujung,2022-05-19,14,8.6
